,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played
5435,12,12,3890280,171,31437,Andreas Hirzel,,30,False,0,Substitute,57
5436,13,13,3890280,171,40468,Cleber Janderson Pereira Reis,Cleber Reis,3,True,3,Right Center Back,96
5437,26,26,3890280,186,10902,Philipp Hosiner,,15,False,0,Substitute,29
5438,11,11,3890282,178,24244,Uffe Manich Bech,Uffe Bech,17,True,12,Right Midfield,45
5439,21,21,3890284,173,8883,Johannes van den Bergh,,23,True,21,Left Wing,71
5440,5,5,3890285,185,8322,André Hahn,,28,False,0,Substitute,23
5441,6,6,3890285,185,8395,Håvard Nordtveit,,6,True,9,Right Defensive Midfield,68
5442,13,13,3890285,185,400654,Roel Brouwers,,4,True,3,Right Center Back,95
5443,21,21,3890285,176,9178,Felix Kroos,,18,False,0,Substitute,18
5444,26,26,3890285,176,26359,Santiago García,,2,True,6,Left Back,95
5445,12,12,3890286,185,20499,Martin Stranzl,,39,True,3,Right Center Back,64
5446,24,24,3890286,171,23499,Jaroslav Drobný,,1,True,1,Goalkeeper,93
5447,10,10,3890287,172,22826,Jan-Ingwer Callsen-Bracker,,18,True,3,Right Center Back,93
5448,8,8,3890289,184,9148,Johannes Flum,,18,False,0,Substitute,10
5449,9,9,3890289,184,9216,Slobodan Medojević,,25,False,0,Substitute,1
5450,11,11,3890289,184,23268,Alexander Meier,,14,True,19,Center Attacking Midfield,88
5451,12,12,3890289,184,155655,Václav Kadlec,,10,False,0,Substitute,3
5452,26,26,3890289,186,10918,Dušan Švento,,29,False,0,Substitute,13
5453,12,12,3890290,174,38172,Toni Šunjić,,4,True,3,Right Center Back,95
5454,13,13,3890290,174,43055,Arianit Ferati,,31,False,0,Substitute,15
5455,16,16,3890290,173,8570,Niklas Stark,,5,False,0,Substitute,20
5456,17,17,3890290,173,8571,Vedad Ibišević,,19,False,0,Substitute,51
5457,9,9,3890291,189,20485,Almog Cohen,,36,False,0,Substitute,25
